Label,Cumulative Return,Annualised Return,Annualised Volatility,Sharpe Ratio,Max Drawdown,Hit Rate,Avg Weekly Return,N Weeks
Before Transaction Costs,   127.66%,    31.32%,    25.17%,     1.244,   -26.20%,    56.69%,   0.5854%,157
After  Transaction Costs,   107.14%,    27.28%,    25.15%,     1.084,   -26.50%,    56.05%,   0.5249%,157
