date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2024-04-05,META | TSLA,META | TSLA,BRK-B | GOOGL,4,0.002000,0.004008,0.002008,"{'META': np.float32(0.9), 'TSLA': np.float32(1.0)}","{'META': np.float32(0.9), 'TSLA': np.float32(1.0)}",0.500000
2024-04-12,AMZN | BRK-B,AMZN | BRK-B,META | TSLA,4,0.002000,-0.028636,-0.030636,"{'AMZN': np.float32(0.75), 'BRK-B': np.float32(0.75)}","{'AMZN': np.float32(0.75), 'BRK-B': np.float32(0.75)}",0.500000
2024-04-19,BRK-B | JPM,JPM,AMZN,2,0.001000,0.017016,0.016016,"{'BRK-B': np.float32(0.9), 'JPM': np.float32(0.9)}","{'BRK-B': np.float32(0.94), 'JPM': np.float32(0.9)}",0.500000
2024-04-26,AMZN | GOOGL,AMZN | GOOGL,BRK-B | JPM,4,0.002000,0.004649,0.002649,"{'AMZN': np.float32(0.9), 'GOOGL': np.float32(0.9)}","{'AMZN': np.float32(0.9), 'GOOGL': np.float32(0.9)}",0.500000
2024-05-03,BRK-B | GOOGL,BRK-B,AMZN,2,0.001000,0.018160,0.017160,"{'BRK-B': np.float32(0.9), 'GOOGL': np.float32(0.9)}","{'BRK-B': np.float32(0.9), 'GOOGL': np.float32(0.94)}",0.500000
2024-05-10,GOOGL | TSLA,TSLA,BRK-B,2,0.001000,0.048650,0.047650,"{'GOOGL': np.float32(0.9), 'TSLA': np.float32(1.0)}","{'GOOGL': np.float32(0.94), 'TSLA': np.float32(1.0)}",0.500000
2024-05-17,AAPL | GOOGL,AAPL,TSLA,2,0.001000,-0.002749,-0.003749,"{'AAPL': np.float32(0.7), 'GOOGL': np.float32(0.7)}","{'AAPL': np.float32(0.7), 'GOOGL': np.float32(0.74)}",0.500000
2024-05-24,AAPL | AMZN,AMZN,GOOGL,2,0.001000,-0.005948,-0.006948,"{'AAPL': np.float32(0.85), 'AMZN': np.float32(0.85)}","{'AAPL': np.float32(0.89), 'AMZN': np.float32(0.85)}",0.500000
2024-05-31,GOOGL | JPM,GOOGL | JPM,AAPL | AMZN,4,0.002000,-0.000932,-0.002932,"{'GOOGL': np.float32(0.9), 'JPM': np.float32(0.9)}","{'GOOGL': np.float32(0.9), 'JPM': np.float32(0.9)}",0.500000
2024-06-07,AMZN | TSLA,AMZN | TSLA,GOOGL | JPM,4,0.002000,-0.000243,-0.002243,"{'AMZN': np.float32(0.85), 'TSLA': np.float32(1.0)}","{'AMZN': np.float32(0.85), 'TSLA': np.float32(1.0)}",0.500000
2024-06-14,AMZN | JNJ,JNJ,TSLA,2,0.001000,0.025783,0.024783,"{'AMZN': np.float32(0.7), 'JNJ': np.float32(1.0)}","{'AMZN': np.float32(0.74), 'JNJ': np.float32(1.0)}",0.500000
2024-06-21,AMZN | TSLA,TSLA,JNJ,2,0.001000,0.051653,0.050653,"{'AMZN': np.float32(0.75), 'TSLA': np.float32(1.0)}","{'AMZN': np.float32(0.79), 'TSLA': np.float32(1.0)}",0.500000
