Label,Cumulative Return,Annualised Return,Annualised Volatility,Sharpe Ratio,Max Drawdown,Hit Rate,Avg Weekly Return,N Weeks
Before Transaction Costs,    86.62%,    22.95%,    18.95%,     1.212,   -17.63%,    57.32%,   0.4321%,157
After  Transaction Costs,    54.00%,    15.37%,    18.90%,     0.814,   -19.12%,    56.69%,   0.3092%,157
